Account #,City,Client
1000,Auburn,Nectar Cafe
1001,CITRUS HEIGHTS,A LIQUORS & GROCERY
1002,SACRAMENTO,7 ELEVEN STORE #32836 COD
1003,VALLEJO,GRAND GAS
1004,SACRAMENTO,A & A GROCERY
1005,SACRAMENTO,COCONUTS FISH CAFE
1006,WEST SACRAMENTO,A & B LIQUOR
1007,CITRUS HEIGHTS,M & J MARKET
1008,SACRAMENTO,SAHARA HOOKAH
1009,SACRAMENTO,BRODERICK ROAD HOUSE
1010,LINCOLN,WAL MART #5979 XYIENCE
1011,SACRAMENTO,A C MARKET
1012,ROSEVILLE,CHEVRON
1013,OLIVEHURST,OLIVEHURST MINI MART
1014,ESPARTO,A J'S WATERING HOLE*********
1015,SACRAMENTO,R K MINI MART
1016,SACRAMENTO,A & M LIQUOR STORE
1017,SACRAMENTO,A & P LIQUOR
1018,LIVE OAK,M G LIQUOR & GROCERY
1019,SACRAMENTO,A-1 MARKET
1020,AUBURN,A-1 FOOD STORE
1021,PLACERVILLE,HEYDAY CAFE
1022,ELK GROVE,PINOT'S PALETTE
1023,RANCHO CORDOVA,ROOT OF HAPPINESS
1024,SACRAMENTO,ACE LIQUOR
1025,LOTUS,LOTUS PUB
1026,FAIR OAKS,VELOCITY PIZZA
1027,SACRAMENTO,ALL CIGARETTE
1028,LINCOLN,TARGET #2214
1029,LINCOLN,TOBACCO SHOP
1030,SACRAMENTO,BULL WINGS GRILL & BAR
1031,CHICO,SHENANIGANS
1032,WEST SACRAMENTO,I R SMOKE SHOP
1033,DAVIS,AGGIE LIQUOR AND DELI
1034,DAVIS,AGGIE STUDENT STORE
1035,SACRAMENTO,LA FIESTA TAQUERIA
1036,SACRAMENTO,AIRWAY MARKET
1037,SACRAMENTO,DESI BAZAAR
1038,SACRAMENTO,LUCCA RESTAURANT & BAR
1039,YUBA CITY,STAR OF INDIA CUISINE
1040,SOUTH LAKE TAHO,K B TAHOE CHEVRON
1041,MARYSVILLE,AL'S 5TH ST SHELL***********
1042,LOCKE,AL'S PLACE
1043,SACRAMENTO,ALAMAR RESTAURANT MARINA
1044,VACAVILLE,ALAMO LIQUORS
1045,GRASS VALLEY,SOUTH PINE CAFE
1046,SACRAMENTO,ALBERT EINSTEIN SCHOOL
1047,VACAVILLE,VACAVILLE CROSSFIT**********
1048,ROSEVILLE,TANG'S SUSHI
1049,JACKSON,SAVE MART #609
1050,LOOMIS,GREEN ELEPHANT
1051,CITRUS HEIGHTS,SAVE MART #603
1052,PARADISE,LIQUOR BANK #1*****
1053,CHICO,CASA RAMOS RESTAURANT
1054,VACAVILLE,LUCKY/SAVE MART #783
1055,SACRAMENTO,FOOD MAXX #488
1056,GRASS VALLEY,SAVE MART #608
1057,ELK GROVE,SAVE MART #605
1058,VACAVILLE,LUCKY/SAVE MART #784
1059,SACRAMENTO,GOLDFIELD TRADING POST
1060,FOLSOM,PETES RESTAURANT & BREWHOUSE
1061,SACRAMENTO,G CIGARETTE'S PLUS
1062,FAIRFIELD,A1 GIFTS GENERAL STORE******
1063,VALLEJO,ALEX'S DELI CATERING
1064,PENRYN,VALENCIA CLUB
1065,SACRAMENTO,HOPPY'S RAILYARD KITCHEN & H
1066,SOUTH LAKE TAHO,CREATIVE CREPES
1067,TAHOE CITY,STORE COPIES & MORE
1068,ROSEVILLE,ALL AMERICAN RACEWAY********
1069,FOLSOM,CURRY CLUB
1070,PENN VALLEY,ALL THE BEST VIDEO
1071,SACRAMENTO,ALL ESCROW ACCOUNTS
1072,MARYSVILLE,ALL RITE MARKET
1073,AUBURN,BEACH HUT DELI
1074,TAHOE PARADISE,LAKE TAHOE GOLF COURSE
1075,WALNUT GROVE,ALMA'S CAFE***************
1076,ROSEVILLE,ALMOND TREE LOUNGE
1077,SACRAMENTO,ALONZO'S COFFEE SHOP********
1078,ROCKLIN,7 ELEVEN STORE #32867 SODA
1079,SACRAMENTO,SUPER TORTAS CHILANGAS
1080,SACRAMENTO,GROCERY OUTLET #143
1081,TAHOE CITY,"CREST CAFE & CATERING, THE"
1082,SOUTH LAKE TAHO,GREEN TAHOE
1083,FOLSOM,FOLSOM DAM MARKET
1084,SO LAKE TAHOE,NAVARRO BAKERY**************
1085,SOUTH LAKE TAHO,AZUL - LATIN KITCHEN
1086,SOUTH LAKE TAHO,GREEN TAHOE
1087,GRASS VALLEY,ALTA SIERRA COUNTRY CLUB
1088,GRASS VALLEY,ALTA SIERRA STATION
1089,SUISUN,WAL MART #3708 XYIENCE
1090,ALTURAS,GROCERY OUTLET #381
1091,DIXON,CAMPBELL RANCH
1092,YUBA CITY,DILLION'S ARCO
1093,PRINCETON,PRINCETON MARKET & DELI*****
1094,VACAVILLE,AM/PM MINI MART #83054
1095,SUISUN CITY,AM/PM MINI MART #83087
1096,ELK GROVE,AM/PM MINI MART #82959
1097,ELK GROVE,AM/PM MINI MART #83008
1098,MARYSVILLE,LINDA PETROLEUM AM PM
1099,SACRAMENTO,BELL ARCO
1100,SACRAMENTO,SELLAND'S MARKET CAFE
1101,WOODLAND,ANDY'S ARCO
1102,SACRAMENTO,AM/PM MINI MART #1102
1103,VACAVILLE,PUREWAL GAS ARCO IND
1104,WEST SACRAMENTO,AM/PM MINI MART #5731
1105,WEST SACRAMENTO,CHEVRON EXTRA MILE
1106,SACRAMENTO,AM/PM MINI MART
1107,SACRAMENTO,ARCO AM PM
1108,ROSEVILLE,AM/PM MINI MARRT #82367
1109,ROCKLIN,AM/PM MINI MART #82516
1110,RANCHO CORDOVA,AM/PM MINI MART #82803
1111,SACRAMENTO,AM/PM MINI MART #83080
1112,NEWCASTLE,NEWCASTLE MINI MART
1113,DAVIS,AM/PM MINI MART #82619
1114,ROCKLIN,AM/PM MINI MART #83072
1115,NORTH HIGHLANDS,ARCO AM PM
1116,SACRAMENTO,ARCO AM PM
1117,ROSEVILLE,GRANITE BAY ARCO
1118,SACRAMENTO,HOWE-HURLEY FOOD MART VALERO
1119,SACRAMENTO,ARCO AM/PM
1120,FAIR OAKS,AMPM KAYLAN MINI MART
1121,ROSEVILLE,AM/PM MINI MART #83111
1122,RANCHO CORDOVA,AM/PM MINI MART #82849
1123,RANCHO CORDOVA,ARCO AM PM
