ACCT # ,City,Client
4938,SOUTH LAKE TAHOE,RALEY'S #127
5338,SOUTH LAKE TAHOE,SAFEWAY STORE #1824
5669,SOUTH LAKE TAHOE,SKI RUN MARKET            
5970,SOUTH LAKE TAHOE,TAHOE BOTTLE SHOP         
4936,SOUTH LAKE TAHOE,RALEY'S #119
3524,SOUTH LAKE TAHOE,KINGS BEVERAGE COMPANY    
1358,SOUTH LAKE TAHOE,SOUTH TAHOE CHEVRON #5988
1803,SOUTH LAKE TAHOE,DESOLATION BREWING COMPANY
5985,SOUTH LAKE TAHOE,TAHOE KEY LIQUOR          
7050,SOUTH LAKE TAHOE,H&S ENERGY STORE #3064
3740,SOUTH LAKE TAHOE,LIQUOR SHACK              
2130,SOUTH LAKE TAHOE,"CORK & MORE, THE          "
5809,SOUTH LAKE TAHOE,U S GASOLINE              
2822,SOUTH LAKE TAHOE,SAFEWAY FUEL CENTER #1824
1158,SOUTH LAKE TAHOE,BEVERAGES & MORE #175
4138,SOUTH LAKE TAHOE,MI PUEBLO                 
3050,SOUTH LAKE TAHOE,MELLOW MOUNTAIN HOSTEL    
4417,SOUTH LAKE TAHOE,AMERICAN #1
3826,SOUTH LAKE TAHOE,WHOLE FOODS MARKET 365
6028,SOUTH LAKE TAHOE,7 ELEVEN STORE #17970 COD
6569,SOUTH LAKE TAHOE,BASE CAMP PIZZA CO          
1323,SOUTH LAKE TAHOE,THIRD MAN TAPHOUSE & GOURMET
9594,SOUTH LAKE TAHOE,CVS PHARMACY #9376 - SODA
9603,SOUTH LAKE TAHOE,CVS PHARMACY #9713 - SODA
7424,SOUTH LAKE TAHOE,"HANGAR, THE                 "
4334,SOUTH LAKE TAHOE,SLICE OF SIERRA PIZZA CO    
8940,SOUTH LAKE TAHOE,IDLE HOUR THE               
8487,SOUTH LAKE TAHOE,ARTEMIS LAKEFRONT CAFE      
8360,SOUTH LAKE TAHOE,BASECAMP HOTEL              
7937,SOUTH LAKE TAHOE,ARCO AM PM GRASS VALLEY     
7936,SOUTH LAKE TAHOE,GROCERY OUTLET #160
7445,SOUTH LAKE TAHOE,VINNY'S PIZZA               
7288,SOUTH LAKE TAHOE,GUNBARREL TAVERN            
7267,SOUTH LAKE TAHOE,OFF THE HOOK                
7207,SOUTH LAKE TAHOE,TAHOE QUEEN                 
7160,SOUTH LAKE TAHOE,HEAVENLY INN LAKE TAHOE     
7008,SOUTH LAKE TAHOE,AMERICAN GAS                
6974,SOUTH LAKE TAHOE,SIDELLIS LAKE TAHOE         
6854,SOUTH LAKE TAHOE,LOFT THE                    
6674,SOUTH LAKE TAHOE,BREWERY AT LAKE TAHOE       
6656,SOUTH LAKE TAHOE,ARTEMIS MEDITERRANEAN GRILL 
