ACCT # ,Client,City
4938,1040 EMERALD BAY RD  SOUTH LAKE T,RALEY'S #127
5338,1020 JOHNSON BLVD    SOUTH LAKE T,SAFEWAY STORE #1824
5669,3460 LAKE TAHOE BLVD SOUTH LAKE T,SKI RUN MARKET            
5970,3950 LAKE TAHOE BLVD SOUTH LAKE T,TAHOE BOTTLE SHOP         
4936,4005 HWY 50          SOUTH LAKE T,RALEY'S #119
3524,2227 LAKE TAHOE BLVD SOUTH LAKE T,KINGS BEVERAGE COMPANY    
1358,2304 LAKE TAHOE BLVD SOUTH LAKE T,SOUTH TAHOE CHEVRON #5988
1803,932 STATELINE        SOUTH LAKE T,DESOLATION BREWING COMPANY
5985,2297 LAKE TAHOE BLVD SOUTH LAKE T,TAHOE KEY LIQUOR          
7050,2986 US HWY 50       SOUTH LAKE T,H&S ENERGY STORE #3064
3740,2525 LAKE TAHOE BLVD SOUTH LAKE T,LIQUOR SHACK              
2130,1032 AL TAHOE BLVD   SO LAKE TAHO,"CORK & MORE, THE          "
5809,2470 LAKE TAHOE BLVD SOUTH LAKE T,U S GASOLINE              
2822,3376 LAKE TAHOE BLVD SOUTH LAKE T,SAFEWAY FUEL CENTER #1824
1158,961 EMERALD BAY RD   SOUTH LAKE T,BEVERAGES & MORE #175
4138,3885 PIONEER TRAIL   SO LAKE TAHO,MI PUEBLO                 
3050,4081 CEDAR AVE       SO LAKE TAHO,MELLOW MOUNTAIN HOSTEL    
4417,1140 EMERALD BAY RD  SOUTH LAKE T,AMERICAN #1
3826,3564 LAKE TAHOE LBVD SOUTH LAKE T,WHOLE FOODS MARKET 365
6028,3923 PIONEER TRAIL   SOUTH LAKE T,7 ELEVEN STORE #17970 COD
6569,1001 HEAVENLY VILLAG SOUTH LAKE T,BASE CAMP PIZZA CO          
1323,3668 LAKE TAHOE BLVD TAHOE,THIRD MAN TAPHOUSE & GOURMET
9594,3471 LAKE TAHOE BLVD SOUTH LAKE T,CVS PHARMACY #9376 - SODA
9603,1043 EMERALD BAY RD  SOUTH LAKE T,CVS PHARMACY #9713 - SODA
7424,2401 LAKE TAHOE BLVD SOUTH LAKE T,"HANGAR, THE                 "
4334,3051 HARISSON AVE #1 SOUTH LAKE T,SLICE OF SIERRA PIZZA CO    
8940,3351 LAKE TAHOE BLVD SOUTH LAKE T,IDLE HOUR THE               
8487,900 SKI RUN BLVD 111 SOUTH LAKE T,ARTEMIS LAKEFRONT CAFE      
8360,4143 CEDAR AVE       SOUTH LAKE T,BASECAMP HOTEL              
7937,1913 NEVADA CITY HWY GRASS VALLEY,ARCO AM PM GRASS VALLEY     
7936,2358 LAKE TAHOE BLVD SOUTH LAKE T,GROCERY OUTLET #160
7445,3940 LAKE TAHOE BLVD SOUTH LAKE T,VINNY'S PIZZA               
7288,1001 HEAVENLY VILLAG SOUTH LAKE T,GUNBARREL TAVERN            
7267,2660 LAKE TAHOE BLVD SOUTH LAKE T,OFF THE HOOK                
7207,900 SKI RUN BLVD DOC SOUTH LAKE T,TAHOE QUEEN                 
7160,930 PARK AVE         SOUTH LAKE T,HEAVENLY INN LAKE TAHOE     
7008,2762 LAKE TAHOE BLVD SOUTH LAKE T,AMERICAN GAS                
6974,3350 SANDY WAY       SOUTH LAKE T,SIDELLIS LAKE TAHOE         
6854,1021 HEAVENLY VILLAG SOUTH LAKE T,LOFT THE                    
6674,3542 LAKE TAHOE BLVD SOUTH LAKE T,BREWERY AT LAKE TAHOE       
6656,2229 LAKE TAHOE BLVD SOUTH LAKE T,ARTEMIS MEDITERRANEAN GRILL 
6618,3445 LAKE TAHOE BLVD SO LAKE TAHO,TAHOE WELLNESS              
6574,2620 LAKE TAHOE BLVD SOUTH LAKE TA,7 ELEVEN STORE #15047 COD
6573,1001 HEAVENLY VILLAG SO LAKE TAHOE,DRIFTWOOD CAFE             
6570,3838 LAKE TAHOE BLVD SO LAKE TAHOE,LOTUS PHO                  
6565,BAL BIJOU ON THE LAK SO LAKE TAHOE,MS DIXIE II                
6425,4011 LAKE TAHOE BLVD SOUTH LAKE TA,X CROWS BBQ                
6244,4101 LAKE TAHOE BLVD SOUTH LAKE TA,FLATSTICK PUB              
6231,1041 FREMONT ST      SOUTH LAKE TA,MACDUFF'S PUB              
6191,1021 AL TAHOE BLVD   SO LAKE TAHOE,LAKE TAHOE SCHOOL WAREHOUSE
6064,3450 LAKE TAHOE BLVD SO LAKE TAHOE,TEP'S VILLA ROMA           
5993,4029 LAKE TAHOE BLVD SO LAKE TAHOE,TAHOE TOM'S                
5987,2435 VENICE DR #252  SOUTH LAKE TA,TAHOE PARA DICE TOURS      
5984,2301 LAKE TAHOE BLVD SOUTH LAKE TA,TAHOE KEYS DELI            
5973,1030 FREMONT AVE     SO LAKE TAHOE,TAHOE BOWL                 
5965,2012 LAKE TAHOE BLVD SOUTH LAKE TA,VERDE MEXICAN ROTISSERIE   
5947,4100 LAKE TAHOE BLVD SO LAKE TAHOE,FIRE & ICE GRILL & BAR     
5935,4125 LAKE TAHOE BLVD SOUTH LAKE TA,TASTE OF EUROPE            
5783,2236 LAKE TAHOE BLVD SOUTH LAKE TA,STEAMER'S BAR & GRILL      
5752,3125 HARRISON AVE    SOUTH LAKE TA,SPROUT'S CAFE              
5722,2030 DUNLAP DR       SOUTH LAKE TA,GRASS ROOTS NATURAL FOODS  
5684,2180 LAKE TAHOE BLVD SOUTH LAKE TA,PRIMO'S ITALIAN BISTRO     
5683,3471 LAKE TAHOE BLVD SOUTH LAKE TA,CVS PHARMACY #9376 - BEER
5591,3988 LAKE TAHOE BLVD SO LAKE TAHOE,SIDESTREET BOUTIQUE/CAFE   
5435,1142 SKI RUN BLVD    SOUTH LAKE TA,CHIAMAYO                   
5414,3436 LAKE TAHOE BLVD SO LAKE TAHOE,SATO JAPANESE RESTAURANT   
5039,901 SKI RUN BLVD     SOUTH LAKE TA,"BEAR MOON BAR & GRILL, THE "
4782,1000 HERBERT AVE #2  SO LAKE TAHOE,PLAZA TAPATIA              
4769,30001 PLASSE RD #A   SILVER LAKE,PLASSE RESORT              
4613,1020 AL TAHOE BLVD   SOUTH LAKE TA,RITE AID #06107
4478,4000 LAKE TAHOE BLVD SOUTH LAKE TA,BLUE DOG GOURMET PIZZA     
4275,3940 LAKE TAHOE BLVD SOUTH LAKE TA,"NAKED FISH, THE            "
4254,3600 LAKE TAHOE BLVD SOUTH LAKE TA,MO'S PLACE                 
4180,961 ELOISE AVE       SO LAKE TAHOE,MOOSE LODGE #1632
4168,2227 LAKE TAHOE BLVD SOUTH LAKE TA,OVERLAND MEAT COMPANY      
4098,2544 LAKE TAHOE BLVD SOUTH LAKE TA,COLD WATER BREWERY & GRILL 
4025,900 SKI RUN BLVD #3  SO LAKE TAHOE,RIVA GRILL ON THE LAKE     
3927,4125 LAKE TAHOE BLVD SOUTH LAKE TA,MCPS IRISH PUB             
3923,2680 KNOX AVE        SOUTH LAKE TA,ENERGYXTREMES              
3814,4125 LAKE TAHOE BLVD SOUTH LAKE TA,ACE HIGH SALOON & SMOKEHOUS
3703,901 PARK AVE         SOUTH LAKE TA,BEST WESTERN STATION HOUSE 
3646,HWY 50 1M N TAHOE PA TAHOE PARADIS,LAKE TAHOE GOLF COURSE     
3645,ONE COLLEGE DR       SOUTH LAKE TA,LAKE TAHOE COLLEGE BOOKST  
3642,1001 HEAVENLY VILLAG SOUTH LAKE TA,KALANI'S                   
3562,4104 LAKESHORE BLVD  SOUTH LAKE TA,LANDING TAHOE RESORT & SPA 
3546,HWY 50 AT UPPER TRUC TAHOE PARADIS,KOA KAMP GROUND            
3537,SILVER LAKE NORTHEND KIT CARSON   ,KIT CARSON LODGE           
3536,SILVER LAKE NORTHEND KIT CARSON   ,KIT CARSON GENERAL STORE   
3534,2042 LAKE TAHOE BLVD SOUTH LAKE TA,POUR HOUSE                 
3533,1501 KIRKWOOD MEADOW KIRKWOOD,KIRKWOOD GENERAL STORE     
3531,102 N PINE ST        NEVADA CITY,HAVEN THEATER              
3451,11255 COTTONTAIL WAY PENN VALLEY,LAKE WILDWOOD ASSOCIATION  
3364,4100 PINE BLVD       SOUTH LAKE TA,COACHMAN HOTEL             
3348,3132 HWY 50          SOUTH LAKE TA,BURGER CITY CAFE           
3321,3059 HARRISON AVE    SOUTH LAKE TA,SNO-FLAKE DRIVE-IN         
3314,2591 LAKE TAHOE BLVD SO LAKE TAHOE,IZZY'S                     
